id,scam_type,message,description,language,target_info_requested,medium
130,Fake E-commerce Scam,Get iPhone 13 for just ₹86044. DM on WhatsApp to order now. Prepay to confirm.,"Fraudsters advertise too-good-to-be-true deals, take money, and disappear or send fake products.",English,Online payment,WhatsApp
131,WhatsApp Account Hacking Scam,"Hey, this is Elakshi. I accidentally sent my OTP to your number. Can you send it to me quickly?",A scammer pretends to be a friend and tricks victims into sharing the OTP meant to hijack their WhatsApp account.,English,OTP,WhatsApp
132,Friend in Distress Scam,"Hey, it's Divit. I'm stuck in Dhule and need ₹25235 urgently. Can you UPI me?",Impersonators pretend to be friends in trouble and ask for emergency funds via UPI or bank transfer.,English,UPI transfer,WhatsApp
133,WhatsApp Lottery/Prize Scam,"Congratulations! You've won ₹18587 in the WhatsApp Mega Draw. To claim, send your full name, bank account number, and Aadhaar to 08209078682.",Victims receive fake prize messages and are asked for personal or banking info to claim the prize.,English,"Bank details, Aadhaar card",WhatsApp
134,Fake Discount/Refund Scam,You are eligible for a ₹96946 refund from Sahni Ltd. Please share your bank details to process it.,Scammers impersonate companies and request bank details to 'process' fake refunds.,English,Bank details,WhatsApp
135,Fake Discount/Refund Scam,You are eligible for a ₹17454 refund from Sama-Kamdar. Please share your bank details to process it.,Scammers impersonate companies and request bank details to 'process' fake refunds.,English,Bank details,WhatsApp
136,SIM Card Replacement Scam,"Hi, this is Jio support. We're upgrading your SIM. Send your Aadhaar and OTP to continue.",The scammer initiates a SIM swap to gain control over the victim's phone number for fraud.,English,"Aadhaar, OTP",WhatsApp
137,Tax Refund Scam,Your tax refund of ₹68085 is ready. Click here to verify your info: http://kari-bhatti.biz,Fraudsters impersonate tax authorities and request personal details or payments to process fake refunds.,English,"Bank details, OTP",WhatsApp
138,Tax Refund Scam,Your tax refund of ₹61251 is ready. Click here to verify your info: http://shenoy-sabharwal.net,Fraudsters impersonate tax authorities and request personal details or payments to process fake refunds.,English,"Bank details, OTP",WhatsApp
139,Phishing Scam (Link Sharing),Your ICICI account is at risk. Click here to verify your info: http://babu.net,Phishing links mimic legitimate websites and trick users into submitting sensitive data.,English,Bank login credentials,WhatsApp
140,Fake Discount/Refund Scam,You are eligible for a ₹20251 refund from Sethi Group. Please share your bank details to process it.,Scammers impersonate companies and request bank details to 'process' fake refunds.,English,Bank details,WhatsApp
141,Fake E-commerce Scam,Get Laptop for just ₹44021. DM on WhatsApp to order now. Prepay to confirm.,"Fraudsters advertise too-good-to-be-true deals, take money, and disappear or send fake products.",English,Online payment,WhatsApp
142,Friend in Distress Scam,"Hey, it's Ira. I'm stuck in Hubli–Dharwad and need ₹35712 urgently. Can you UPI me?",Impersonators pretend to be friends in trouble and ask for emergency funds via UPI or bank transfer.,English,UPI transfer,WhatsApp
143,WhatsApp Lottery/Prize Scam,"Congratulations! You've won ₹84642 in the WhatsApp Mega Draw. To claim, send your full name, bank account number, and Aadhaar to +913408859416.",Victims receive fake prize messages and are asked for personal or banking info to claim the prize.,English,"Bank details, Aadhaar card",WhatsApp
144,WhatsApp Lottery/Prize Scam,"Congratulations! You've won ₹25590 in the WhatsApp Mega Draw. To claim, send your full name, bank account number, and Aadhaar to 08468409860.",Victims receive fake prize messages and are asked for personal or banking info to claim the prize.,English,"Bank details, Aadhaar card",WhatsApp
145,UPI Scam,"Your SBI account is blocked. To unblock, pay ₹41103 to UPI ID: sacharmiraya@upi.",Scammers impersonate banks and urge victims to make fake urgent payments via UPI.,English,UPI payment,WhatsApp
146,Fake Job Offer Scam,"Hi, this is Pranay from HR at Jain, Boase and Mane. You've been shortlisted for a remote role. Pay ₹697 as a registration fee.",Fraudsters pretend to be from well-known companies and ask for money upfront for fake jobs.,English,Payment for registration,WhatsApp
147,WhatsApp Lottery/Prize Scam,"Congratulations! You've won ₹14475 in the WhatsApp Mega Draw. To claim, send your full name, bank account number, and Aadhaar to 04884680933.",Victims receive fake prize messages and are asked for personal or banking info to claim the prize.,English,"Bank details, Aadhaar card",WhatsApp
148,UPI Scam,"Your ICICI account is blocked. To unblock, pay ₹70576 to UPI ID: pranaybhattacharyya@upi.",Scammers impersonate banks and urge victims to make fake urgent payments via UPI.,English,UPI payment,WhatsApp
149,Fake Job Offer Scam,"Hi, this is Saksham from HR at Ramesh LLC. You've been shortlisted for a remote role. Pay ₹557 as a registration fee.",Fraudsters pretend to be from well-known companies and ask for money upfront for fake jobs.,English,Payment for registration,WhatsApp
150,Fake Charity/Donation Scam,We're raising funds for flood victims in Madhya Pradesh. Please donate what you can to UPI ID: keya20@upi,Scammers impersonate charities and request urgent donations via UPI or bank transfer.,English,Donation via UPI,WhatsApp
151,WhatsApp Lottery/Prize Scam,"Congratulations! You've won ₹4449 in the WhatsApp Mega Draw. To claim, send your full name, bank account number, and Aadhaar to 6946668691.",Victims receive fake prize messages and are asked for personal or banking info to claim the prize.,English,"Bank details, Aadhaar card",WhatsApp
152,Fake Loan Approval Scam,You are pre-approved for a ₹18287 loan. Pay ₹863 as a processing fee to receive the funds.,Scammers offer fake loans and ask for an upfront processing fee but never provide the loan.,English,Processing fee,WhatsApp
153,Fake E-commerce Scam,Get AirPods Pro for just ₹88391. DM on WhatsApp to order now. Prepay to confirm.,"Fraudsters advertise too-good-to-be-true deals, take money, and disappear or send fake products.",English,Online payment,WhatsApp
154,Fake Discount/Refund Scam,You are eligible for a ₹65074 refund from Hayre PLC. Please share your bank details to process it.,Scammers impersonate companies and request bank details to 'process' fake refunds.,English,Bank details,WhatsApp
155,Cryptocurrency Investment Scam,Invest ₹48722 in our crypto plan and get ₹35226 in a week. Limited slots!,"Victims are lured with promises of high returns on crypto investments, but the scammers vanish with the money.",English,Initial investment,WhatsApp
156,Tax Refund Scam,Your tax refund of ₹29587 is ready. Click here to verify your info: http://ratti-gopal.com,Fraudsters impersonate tax authorities and request personal details or payments to process fake refunds.,English,"Bank details, OTP",WhatsApp
157,Tax Refund Scam,Your tax refund of ₹18763 is ready. Click here to verify your info: http://choudhary.com,Fraudsters impersonate tax authorities and request personal details or payments to process fake refunds.,English,"Bank details, OTP",WhatsApp
158,UPI Scam,"Your Axis account is blocked. To unblock, pay ₹88578 to UPI ID: stuvanmajumdar@upi.",Scammers impersonate banks and urge victims to make fake urgent payments via UPI.,English,UPI payment,WhatsApp
159,Fake Job Offer Scam,"Hi, this is Mahika from HR at Thakur, Wali and Chatterjee. You've been shortlisted for a remote role. Pay ₹335 as a registration fee.",Fraudsters pretend to be from well-known companies and ask for money upfront for fake jobs.,English,Payment for registration,WhatsApp
160,Tax Refund Scam,Your tax refund of ₹23472 is ready. Click here to verify your info: http://kumer.net,Fraudsters impersonate tax authorities and request personal details or payments to process fake refunds.,English,"Bank details, OTP",WhatsApp
161,Fake Job Offer Scam,"Hi, this is Mannat from HR at Talwar LLC. You've been shortlisted for a remote role. Pay ₹643 as a registration fee.",Fraudsters pretend to be from well-known companies and ask for money upfront for fake jobs.,English,Payment for registration,WhatsApp
162,UPI Scam,"Your HDFC account is blocked. To unblock, pay ₹23510 to UPI ID: goyaldhanuk@upi.",Scammers impersonate banks and urge victims to make fake urgent payments via UPI.,English,UPI payment,WhatsApp
163,Fake Discount/Refund Scam,You are eligible for a ₹18742 refund from Bhardwaj and Sons. Please share your bank details to process it.,Scammers impersonate companies and request bank details to 'process' fake refunds.,English,Bank details,WhatsApp
164,SIM Card Replacement Scam,"Hi, this is Jio support. We're upgrading your SIM. Send your Aadhaar and OTP to continue.",The scammer initiates a SIM swap to gain control over the victim's phone number for fraud.,English,"Aadhaar, OTP",WhatsApp
165,Fake Charity/Donation Scam,We're raising funds for flood victims in Maharashtra. Please donate what you can to UPI ID: samaneelofar@upi,Scammers impersonate charities and request urgent donations via UPI or bank transfer.,English,Donation via UPI,WhatsApp
166,SIM Card Replacement Scam,"Hi, this is Jio support. We're upgrading your SIM. Send your Aadhaar and OTP to continue.",The scammer initiates a SIM swap to gain control over the victim's phone number for fraud.,English,"Aadhaar, OTP",WhatsApp
167,Fake Charity/Donation Scam,We're raising funds for flood victims in West Bengal. Please donate what you can to UPI ID: yrajagopal@upi,Scammers impersonate charities and request urgent donations via UPI or bank transfer.,English,Donation via UPI,WhatsApp
168,Fake Job Offer Scam,"Hi, this is Indrans from HR at Lala-Goswami. You've been shortlisted for a remote role. Pay ₹670 as a registration fee.",Fraudsters pretend to be from well-known companies and ask for money upfront for fake jobs.,English,Payment for registration,WhatsApp
169,Fake Discount/Refund Scam,"You are eligible for a ₹55808 refund from Bawa, Biswas and Bakshi. Please share your bank details to process it.",Scammers impersonate companies and request bank details to 'process' fake refunds.,English,Bank details,WhatsApp
170,WhatsApp Lottery/Prize Scam,"Congratulations! You've won ₹24658 in the WhatsApp Mega Draw. To claim, send your full name, bank account number, and Aadhaar to 9422536356.",Victims receive fake prize messages and are asked for personal or banking info to claim the prize.,English,"Bank details, Aadhaar card",WhatsApp
171,Fake Charity/Donation Scam,We're raising funds for flood victims in Haryana. Please donate what you can to UPI ID: nehmatkohli@upi,Scammers impersonate charities and request urgent donations via UPI or bank transfer.,English,Donation via UPI,WhatsApp
